Holder,Amount
,
,
,
0x0252dfbad3169ea16665d668af107d5e217579fa,16
0xf70e7013d4edd78698447bfb58696e7f386bc67c,12
0xce6e4f1dc56ee1bcb0546a021d884ecb4b22ec42,10
0x16763494c398e72a58b9802b8204e07a62c1c7de,9
0x40c664fb77317ec83b2b188ff4f485a6c71da4ca,8
0x4cd35473b99125ec4a028081cec28aa2eb5eef84,8
0x6b59918cfa9a4a360482b98e32bd0ebc61aee89e,7
0x82bb8d9fb9ec3a7da2dc3a7dcc48418dac6bbd4a,7
0x90b1c0e539413e332d7e5d8cccb199b76941ec8b,7
0x9467135a90023c731803289676302fa18e75f5fe,7
0xffcbe5a6d807d47deea491cfc9a606fdedfd8ea3,7
0x1eed0a465dca2c5f952fc59b3e8b30760bd3593c,6
0x9f0dd487e59ae7895615cc0d5dfea1617739f2a5,6
0xa24fcdff33c0c4ab0129cc72b58a9bcacf85b932,6
0xb70219c02ca65f257079370ce34cdcaff837e7cd,6
0xb833dd536e9b1b82757e1d457714d048c7bbc0eb,6
0xdef4a6f5734638670fe4c726329cafbd1640234d,6
0x02482370deaae6443af0f8bd19c4345d92364900,5
0x112513f784019b701f5556ea3c9d2c086ffcbe07,5
0x11d2e8c447b1262b6b6676d1020d1beb1b4bf611,5
0x1892cd42f514db1002f9a33d34ab9e625f3a6b61,5
0x18a7fb33be337e8983a21adc06479ae083ca4fab,5
0x1a3c34b26e0f812fe7496667902a6f18ff053833,5
0x1ddbccffb075f9242720554391d6cab8084ad2fc,5
0x257b600b084b0b82fb1a0a3caad51b87fe16b15f,5
0x28655edb9ee26ac115a12984b9bdb5b4bd69bb36,5
0x2ba4bfbf7b9bc71223cba2b8f19ca49a696da9e8,5
0x2bdec7d5d1f137393880da3d220a4a75436000f1,5
0x4416ac5643ce3263fcf0be32556f1370795e5d8e,5
0x513390c09a07b1d659f4ef61c8011691c26909af,5
0x52fc297ce072148a99bc0d6a2d8a8d34ae0b145d,5
0x587caf20ec6ffb3e6a93738d99baf87943d088cf,5
0x5bedfc16c6ff7c522b8ee480cb6d295ed5ef82ff,5
0x5c83cd1da8da92e9165bb1b5ebbdec9a06e5b97b,5
0x6213fd5a700d1a059e2fb05077c5bd1e626ed9f3,5
0x74aa8b45270cb70719070d008ec26fe568625f73,5
0x824e67982f7238293326df40a4b1bfd943f8103a,5
0x85a3d5b0405589e700b3153d294a1b92eb9e2e41,5
0x883ce32e186c69559e94c8ba276bfc4322fc194a,5
0x906a8b72e609c0372cfe380b37a672ad387501c8,5
0x95e4f2ba1299e2a91654495a4b2c58d96b55e45a,5
0x9dd9580bf833601ecfd2b6cb290139b83788726e,5
0x9e0f57c62c4c26dc9122fc5981ac3d411220a899,5
0xa19801bb2b3a8239466811913088745fb76799ae,5
0xa7fabf8a569335ad4eb5586dce6f03facdf61d01,5
0xae47114394a05d927bb54ef2e468377b3fc1458f,5
0xb29fc57a24fb71bc9ef194ef4dd7461f22366a43,5
0xbc8b718bfb350629ebbdbffc97e58cd156c6308d,5
0xc3a5e7beab2f963cda5ccadec64a9eaa86d8c253,5
0xc428f9484b574ebb1b3f84be45e425413aec18a2,5
0xce5f967fdcbab1ff86b8a7b632df33d6806c1a1b,5
0xdcb213ede09bdd3b3a0a4eba7b5b21f81e000a97,5
0xdff601647ccbc6317f6314bdf20129f74c37b1b2,5
0xe561fdbceaa225ccfa080bcd4d84382e27f6d9d9,5
0xeaddaad6500deb6b7aea9af6b0a378cd67557e40,5
0xf09f593383fa8481a1a5d14e4349f8c927583c14,5
0xf1496644aad7ade10c229e1813a0ea4f2b56221e,5
0xf1ef6fad71cbb3947f4ccae862817a5e110a17f0,5
0xf523120d8310c004ab35654dc08bb9b4b2f83361,5
0xf5b882cae990aa9bda8fae39bdd9f72554a3f989,5
0xf9856eae71b956c6eb2bec6ce437375f84bc9178,5
0xfbf23f877c2dd8ef7847bf4427a2f87d3fa651fc,5
